SNo,Urn,JournalDate,PurchaseDate,ExpiryDate,Purchaser,Prefix,BondNumber,Denominations,IssueBranchCode,PayTeller
18,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1124,100000,1,5899230
19,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1128,100000,1,5899230
20,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1126,100000,1,5899230
21,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ARIHANT ENTERPRISES,TL,11551,1000000,1,5899230
22,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ARIHANT ENTERPRISES,TL,11554,1000000,1,5899230
23,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ARIHANT ENTERPRISES,TL,11553,1000000,1,5899230
24,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ARIHANT ENTERPRISES,TL,11552,1000000,1,5899230
25,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,CHOUDHARY GARMENTS,TL,12904,1000000,300,4180496
26,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,CHOUDHARY GARMENTS,TL,12902,1000000,300,4180496
27,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6297,10000000,1,5899230
28,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6275,10000000,1,5899230
29,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6261,10000000,1,5899230
30,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6278,10000000,1,5899230
31,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6262,10000000,1,5899230
32,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6274,10000000,1,5899230
33,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6257,10000000,1,5899230
34,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6273,10000000,1,5899230
35,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6272,10000000,1,5899230
36,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6280,10000000,1,5899230
37,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6251,10000000,1,5899230
38,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,4597,10000000,1,5899230
39,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6279,10000000,1,5899230
40,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6296,10000000,1,5899230
41,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6256,10000000,1,5899230
42,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6286,10000000,1,5899230
43,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6298,10000000,1,5899230
44,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6267,10000000,1,5899230
45,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,4632,10000000,1,5899230
46,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6284,10000000,1,5899230
47,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6254,10000000,1,5899230
48,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6292,10000000,1,5899230
49,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6268,10000000,1,5899230
50,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6258,10000000,1,5899230
51,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6253,10000000,1,5899230
52,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6293,10000000,1,5899230
53,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6281,10000000,1,5899230
54,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6264,10000000,1,5899230
55,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6288,10000000,1,5899230
56,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6300,10000000,1,5899230
57,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6269,10000000,1,5899230
58,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,4598,10000000,1,5899230
59,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6263,10000000,1,5899230
60,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6270,10000000,1,5899230
61,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6283,10000000,1,5899230
62,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6299,10000000,1,5899230
63,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6271,10000000,1,5899230
64,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6252,10000000,1,5899230
65,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6282,10000000,1,5899230
66,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6259,10000000,1,5899230
67,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6295,10000000,1,5899230
68,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6260,10000000,1,5899230
69,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6255,10000000,1,5899230
70,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6265,10000000,1,5899230
71,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6285,10000000,1,5899230
72,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6289,10000000,1,5899230
73,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6291,10000000,1,5899230
74,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6294,10000000,1,5899230
75,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,OC,6287,10000000,1,5899230
76,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,TL,11440,1000000,1,5899230
77,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,TL,11437,1000000,1,5899230
78,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,TL,11439,1000000,1,5899230
79,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,TL,11445,1000000,1,5899230
80,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,TL,11438,1000000,1,5899230
81,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,TL,11432,1000000,1,5899230
82,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,TL,11444,1000000,1,5899230
83,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,TL,11443,1000000,1,5899230
84,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,TL,11446,1000000,1,5899230
85,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,ESSEL MINING AND INDS LTD,TL,11442,1000000,1,5899230
86,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,GRASIM INDUSTRIES LTD,OC,7045,10000000,300,4180496
87,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,GRASIM INDUSTRIES LTD,OC,7041,10000000,300,4180496
88,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,GRASIM INDUSTRIES LTD,OC,7025,10000000,300,4180496
89,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,GRASIM INDUSTRIES LTD,OC,7051,10000000,300,4180496
90,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,GRASIM INDUSTRIES LTD,OC,7035,10000000,300,4180496
91,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,GRASIM INDUSTRIES LTD,OC,7059,10000000,300,4180496
92,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,GRASIM INDUSTRIES LTD,OC,7037,10000000,300,4180496
93,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,GRASIM INDUSTRIES LTD,OC,7033,10000000,300,4180496
94,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,GRASIM INDUSTRIES LTD,OC,7053,10000000,300,4180496
95,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,GRASIM INDUSTRIES LTD,OC,7061,10000000,300,4180496
96,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,GRASIM INDUSTRIES LTD,OC,7029,10000000,300,4180496
97,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,GRASIM INDUSTRIES LTD,OC,7049,10000000,300,4180496
98,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,GRASIM INDUSTRIES LTD,OC,7057,10000000,300,4180496
99,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,GRASIM INDUSTRIES LTD,OC,7043,10000000,300,4180496
100,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,GRASIM INDUSTRIES LTD,OC,7039,10000000,300,4180496
101,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,GRASIM INDUSTRIES LTD,OC,7047,10000000,300,4180496
102,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,GRASIM INDUSTRIES LTD,OC,7027,10000000,300,4180496
103,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,GRASIM INDUSTRIES LTD,OC,7055,10000000,300,4180496
104,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,GRASIM INDUSTRIES LTD,OC,7031,10000000,300,4180496
105,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,GRASIM INDUSTRIES LTD,OC,7023,10000000,300,4180496
106,5.09202E+20,4/12/2019,4/12/2019,4/26/2019,HIGHSTREET CRUISES AND ENTERTAINMENT PVT LTD,TL,3410,1000000,509,7315678
107,5.09202E+20,4/12/2019,4/12/2019,4/26/2019,HIGHSTREET CRUISES AND ENTERTAINMENT PVT LTD,TL,3407,1000000,509,7315678
108,5.09202E+20,4/12/2019,4/12/2019,4/26/2019,HIGHSTREET CRUISES AND ENTERTAINMENT PVT LTD,TL,3412,1000000,509,7315678
109,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,INNOCENT MERCHANDISE PVT LTD,TL,11557,1000000,1,5899230
110,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,INNOCENT MERCHANDISE PVT LTD,TL,11558,1000000,1,5899230
111,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,INNOCENT MERCHANDISE PVT LTD,OL,1133,100000,1,5899230
112,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,INNOCENT MERCHANDISE PVT LTD,OL,1127,100000,1,5899230
113,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,INNOCENT MERCHANDISE PVT LTD,OL,1131,100000,1,5899230
114,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,INNOCENT MERCHANDISE PVT LTD,OL,1130,100000,1,5899230
115,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,INNOCENT MERCHANDISE PVT LTD,OL,1132,100000,1,5899230
116,7.82019E+19,4/12/2019,4/12/2019,4/26/2019,KAMLANG SAW & VENEER MILLS PVT LTD,TL,2344,1000000,78,7601204
117,7.82019E+19,4/12/2019,4/12/2019,4/26/2019,KAMLANG SAW & VENEER MILLS PVT LTD,TL,2341,1000000,78,7601204
118,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5485,10000000,847,8424020
119,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5465,10000000,847,8424020
120,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5497,10000000,847,8424020
121,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5510,10000000,847,8424020
122,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5484,10000000,847,8424020
123,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5522,10000000,847,8424020
124,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5490,10000000,847,8424020
125,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5496,10000000,847,8424020
126,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5456,10000000,847,8424020
127,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5469,10000000,847,8424020
128,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5495,10000000,847,8424020
129,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5503,10000000,847,8424020
130,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5486,10000000,847,8424020
131,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5482,10000000,847,8424020
132,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5502,10000000,847,8424020
133,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5500,10000000,847,8424020
134,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5483,10000000,847,8424020
135,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5479,10000000,847,8424020
136,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5473,10000000,847,8424020
137,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5518,10000000,847,8424020
138,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5476,10000000,847,8424020
139,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5501,10000000,847,8424020
140,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5489,10000000,847,8424020
141,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5487,10000000,847,8424020
142,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5499,10000000,847,8424020
143,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5452,10000000,847,8424020
144,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5480,10000000,847,8424020
145,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5494,10000000,847,8424020
146,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5516,10000000,847,8424020
147,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5520,10000000,847,8424020
148,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5506,10000000,847,8424020
149,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5511,10000000,847,8424020
150,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5507,10000000,847,8424020
151,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5505,10000000,847,8424020
152,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5512,10000000,847,8424020
153,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5504,10000000,847,8424020
154,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5508,10000000,847,8424020
155,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5493,10000000,847,8424020
156,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5514,10000000,847,8424020
157,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5478,10000000,847,8424020
158,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5498,10000000,847,8424020
159,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5524,10000000,847,8424020
160,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5488,10000000,847,8424020
161,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5477,10000000,847,8424020
162,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5492,10000000,847,8424020
163,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5491,10000000,847,8424020
164,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5513,10000000,847,8424020
165,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5461,10000000,847,8424020
166,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5509,10000000,847,8424020
167,8.47202E+20,4/12/2019,4/12/2019,4/26/2019,MEGHA ENGINEERING AND INFRASTRUCTURES LIMITED,OC,5481,10000000,847,8424020
168,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,MERLIN RECREATION PVT LTD,TL,11450,1000000,1,5899230
169,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,MERLIN RECREATION PVT LTD,TL,11449,1000000,1,5899230
170,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,MERLIN RECREATION PVT LTD,OL,1121,100000,1,5899230
171,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,MERLIN RECREATION PVT LTD,OL,1120,100000,1,5899230
172,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,MERLIN RECREATION PVT LTD,OL,1123,100000,1,5899230
173,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,MERLIN RECREATION PVT LTD,OL,1116,100000,1,5899230
174,1.2019E+18,4/12/2019,4/12/2019,4/26/2019,MERLIN RECREATION PVT LTD,OL,1122,100000,1,5899230
175,8.13202E+20,4/12/2019,4/12/2019,4/26/2019,MSPL LTD,OC,588,10000000,813,5144485
176,7.82019E+19,4/12/2019,4/12/2019,4/26/2019,MYRIAD DEVELOPERS,TL,2357,1000000,78,7601204
177,7.82019E+19,4/12/2019,4/12/2019,4/26/2019,MYRIAD DEVELOPERS,OL,10036,100000,78,7601204
178,7.82019E+19,4/12/2019,4/12/2019,4/26/2019,MYRIAD DEVELOPERS,OL,10032,100000,78,7601204
179,7.82019E+19,4/12/2019,4/12/2019,4/26/2019,MYRIAD DEVELOPERS,OL,10038,100000,78,7601204
180,7.82019E+19,4/12/2019,4/12/2019,4/26/2019,MYRIAD DEVELOPERS,OL,10034,100000,78,7601204
181,7.82019E+19,4/12/2019,4/12/2019,4/26/2019,MYRIAD DEVELOPERS,OL,10030,100000,78,7601204
182,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,OMKAR VENTURES PVT LTD,OC,7070,10000000,300,4180496
183,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,OMKAR VENTURES PVT LTD,OC,7066,10000000,300,4180496
184,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,OMKAR VENTURES PVT LTD,OC,7068,10000000,300,4180496
185,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,OMKAR VENTURES PVT LTD,OC,7064,10000000,300,4180496
186,1.3552E+21,4/12/2019,4/12/2019,4/26/2019,PATEL HIGHWAY MANAGEMENT PVT LTD,OC,2855,10000000,1355,5137969
187,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,PHL FINIVEST PVT LTD,OC,7018,10000000,300,4180496
188,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,PHL FINIVEST PVT LTD,OC,7052,10000000,300,4180496
189,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,PHL FINIVEST PVT LTD,OC,6678,10000000,300,4180496
190,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,PHL FINIVEST PVT LTD,OC,6684,10000000,300,4180496
191,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,PHL FINIVEST PVT LTD,OC,7002,10000000,300,4180496
192,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,PHL FINIVEST PVT LTD,OC,7048,10000000,300,4180496
193,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,PHL FINIVEST PVT LTD,OC,7020,10000000,300,4180496
194,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,PHL FINIVEST PVT LTD,OC,7008,10000000,300,4180496
195,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,PHL FINIVEST PVT LTD,OC,6694,10000000,300,4180496
196,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,PHL FINIVEST PVT LTD,OC,7024,10000000,300,4180496
197,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,PHL FINIVEST PVT LTD,OC,7006,10000000,300,4180496
198,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,PHL FINIVEST PVT LTD,OC,7026,10000000,300,4180496
199,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,PHL FINIVEST PVT LTD,OC,7028,10000000,300,4180496
200,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,PHL FINIVEST PVT LTD,OC,6690,10000000,300,4180496
201,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,PHL FINIVEST PVT LTD,OC,6700,10000000,300,4180496
202,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,PHL FINIVEST PVT LTD,OC,7044,10000000,300,4180496
203,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,PHL FINIVEST PVT LTD,OC,6698,10000000,300,4180496
204,3.00202E+20,4/12/2019,4/12/2019,4/26/2019,PHL FINIVEST PVT LTD,OC,7022,10000000,300,4180496
